MMSI,LAT,LON,SOG,COG,Point_Type
42959423,19.114598,108.640485,0.1,0.0,Start
42959423,19.114598,108.640485,0.1,0.0,End
200011590,22.16968,114.23997,0.2,224.3,Start
200011590,22.16968,114.23997,0.2,224.3,End
200036218,24.663212,118.963503,0.7,358.0,Start
200036218,24.663212,118.963503,0.7,358.0,End
215195000,10.253333,59.773333,20.0,102.0,Start
215195000,10.253333,59.773333,20.0,102.0,End
215219000,33.93368,-76.23495,7.5,235.4,Start
215219000,33.93368,-76.23495,7.5,235.4,End
218474000,32.61133,-79.30505,2.8,200.8,Start
218474000,32.61133,-79.30505,2.8,200.8,End
218791000,12.223765,59.899892,19.3,107.6,Start
218791000,12.223765,59.899892,19.3,107.6,End
219182000,18.734657,59.837793,11.4,216.0,Start
219182000,18.734657,59.837793,11.4,216.0,End
228011850,18.89476,-67.55598,5.5,273.3,Start
228011850,18.89476,-67.55598,5.5,273.3,End
229985000,-18.669198,153.475138,10.7,170.1,Start
229985000,-18.669198,153.475138,10.7,170.1,End
233933000,48.12516,-123.4409,0.0,211.3,Start
233933000,48.12516,-123.4409,0.0,211.3,End
246887000,38.30698,-76.3252,7.1,186.9,Start
246887000,38.30698,-76.3252,7.1,186.9,End
247009600,23.518667,59.656333,19.9,133.0,Start
247009600,23.518667,59.656333,19.9,133.0,End
248174000,22.18281,91.779698,0.4,246.7,Start
248174000,22.18281,91.779698,0.4,246.7,End
248270000,20.959412,59.43289,11.8,23.4,Start
248270000,20.959412,59.43289,11.8,23.4,End
259887000,5.823333,80.108383,14.6,279.0,Start
259887000,5.823333,80.108383,14.6,279.0,End
306121000,21.14471,59.489447,6.9,150.3,Start
306121000,21.14471,59.489447,6.9,150.3,End
310764000,29.12376,-89.2624,13.2,23.7,Start
310764000,29.12376,-89.2624,13.2,23.7,End
311000696,-20.7063,149.711167,12.6,321.0,Start
311000696,-20.7063,149.711167,12.6,321.0,End
311001095,28.8786,-79.9483,18.5,350.4,Start
311001095,28.8786,-79.9483,18.5,350.4,End
312717000,35.482235,125.719228,11.1,189.4,Start
312717000,35.482235,125.719228,11.1,189.4,End
316002280,46.59175,-84.71716,0.0,9.2,Start
316002280,46.59175,-84.71716,0.0,9.2,End
316004969,49.14272,-123.81367,2.6,132.2,Start
316004969,49.14272,-123.81367,2.6,132.2,End
316005616,49.44258,-123.7416,2.5,167.3,Start
316005616,49.44258,-123.7416,2.5,167.3,End
316005716,49.16914,-122.49077,7.3,261.6,Start
316005716,49.16914,-122.49077,7.3,261.6,End
316009843,49.17033,-122.92397,0.0,330.7,Start
316009843,49.17033,-122.92397,0.0,330.7,End
316014107,49.30212,-123.02312,0.0,155.4,Start
316014107,49.30212,-123.02312,0.0,155.4,End
316024809,49.11467,-123.07255,0.0,7.3,Start
316024809,49.11467,-123.07255,0.0,7.3,End
316027563,49.29236,-122.87918,0.2,53.5,Start
316027563,49.29236,-122.87918,0.2,53.5,End
316030941,49.29505,-123.12896,0.2,360.0,Start
316030941,49.29505,-123.12896,0.2,360.0,End
316036399,48.6676,-123.40392,0.0,231.2,Start
316036399,48.6676,-123.40392,0.0,231.2,End
316038834,48.31453,-124.27347,6.6,115.3,Start
316038834,48.31453,-124.27347,6.6,115.3,End
316039018,49.29072,-123.06126,0.0,101.8,Start
316039018,49.29072,-123.06126,0.0,101.8,End
319005600,-22.53005,152.723283,8.3,226.2,Start
319005600,-22.53005,152.723283,8.3,226.2,End
319133500,1.293577,103.761015,0.0,167.0,Start
319133500,1.293577,103.761015,0.0,167.0,End
319143700,26.1017,-80.11816,0.0,168.2,Start
