TripID,MMSI,MeanSOG,VesselName,IMO,CallSign,VesselType,Length,Width,Draft,Cargo,DepTime,ArrTime,DepLat,DepLon,ArrLat,ArrLon,DepCountry,DepCity,ArrCountry,ArrCity,Duration
12,316021351,0.0022727272727272,BRITANNIA,IMO8120650,VY5348,1012.0,38.41,9.76,2.8,60.0,2017-01-01 00:00:00,2017-01-01 02:38:17,49.29479,-123.13286,49.29481,-123.13285,CA,West End,CA,West End,0 days 02:38:17
33,369285000,0.0,NORTH STAR,IMO9232280,KIYI,1004.0,255.72,35.96,9.0,72.0,2017-01-01 00:00:59,2017-01-01 02:30:56,47.27438,-122.4051,47.27438,-122.40505,US,Tacoma,US,Tacoma,0 days 02:29:57
43,220061000,11.573387096774187,CORNELIA MAERSK,IMO9245756,OWWS2,1004.0,346.98,42.92,14.5,71.0,2017-01-01 00:00:13,2017-01-01 02:43:05,34.291,-120.212,34.42933,-120.822,US,Solvang,US,Lompoc,0 days 02:42:52
47,366919770,5.2329268292683,LYNN MARIE,IMO9253583,WDB6192,1025.0,29.87,12.19,3.8,52.0,2017-01-01 00:00:01,2017-01-01 02:36:56,37.82321,-122.47754,37.90554,-122.37164,US,Sausalito,US,Richmond,0 days 02:36:55
57,371410000,2.1184397163120567,ULTRA VANSCOY,IMO9643958,3FJD4,70.0,180.0,30.0,6.7,70.0,2017-01-01 00:00:07,2017-01-01 02:42:08,46.18579,-124.38017,46.15774,-124.26337,US,Long Beach,US,Long Beach,0 days 02:42:01
61,316012260,0.0015151515151515,VIKING ENTERPRISE,IMO8802404,CFG7403,1001.0,40.65,8.5,4.2,30.0,2017-01-01 00:01:00,2017-01-01 02:42:28,49.11019,-123.1269,49.11026,-123.12689,CA,Ladner,CA,Ladner,0 days 02:41:28
62,367396790,1.6812949640287764,Z-FIVE,IMO9194177,WDE7721,1025.0,28.7,9.75,3.5,52.0,2017-01-01 00:00:08,2017-01-01 02:41:17,37.79233,-122.28532,37.79232,-122.28537,US,Oakland,US,Oakland,0 days 02:41:09
68,316001232,0.0,BOWEN QUEEN,IMO6600967,VGXR,1012.0,84.97,18.65,2.4,60.0,2017-01-01 00:00:03,2017-01-01 02:36:01,48.76973,-123.45145,48.7697,-123.45144,CA,North Saanich,CA,North Saanich,0 days 02:35:58
69,353285000,12.539393939393932,GLOBAL PROSPERITY,IMO9316969,3EFD4,1004.0,176.83,28.8,9.8,70.0,2017-01-01 00:00:01,2017-01-01 02:41:43,42.68125,-124.74455,42.11643,-124.72402,US,Port Orford,US,Gold Beach,0 days 02:41:42
72,366998510,0.0,LIBERTY,IMO7717626,WDC2845,1025.0,29.85,9.78,3.9,52.0,2017-01-01 00:00:02,2017-01-01 02:44:04,37.82188,-122.31123,37.82189,-122.31123,US,Emeryville,US,Emeryville,0 days 02:44:02
74,477902900,0.0552631578947368,GALAXY,IMO9628908,VRJY2,1004.0,229.0,32.3,14.4,70.0,2017-01-01 00:00:01,2017-01-01 02:32:59,49.29187,-123.03231,49.29187,-123.03232,CA,North Vancouver,CA,North Vancouver,0 days 02:32:58
77,316001223,5.41928571428572,ISLAND MONARCH,IMO6608414,CFL4938,1025.0,41.86,9.48,4.8,52.0,2017-01-01 00:00:00,2017-01-01 02:42:18,48.13509000000001,-122.71661,47.93539000000001,-122.54008,US,Port Townsend,US,Hansville,0 days 02:42:18
78,366759530,0.0014388489208633,GUIDE,IMO9188556,WDE7328,1025.0,31.39,10.97,3.4,52.0,2017-01-01 00:00:08,2017-01-01 02:39:15,47.25478,-122.43273,47.25479,-122.43269,US,Tacoma,US,Tacoma,0 days 02:39:07
